mmsi,year,month,vesselType
227579000,2015,1,trawler
227579000,2015,2,trawler
227579000,2015,3,trawler
227579000,2015,4,trawler
227579000,2015,5,trawler
227579000,2015,6,trawler
227579000,2015,7,trawler
227579000,2015,8,trawler
227579000,2015,9,trawler
227579000,2015,10,trawler
227579000,2015,11,trawler
227579000,2015,12,trawler
431802000,2015,1,longliner
431802000,2015,2,longliner
431802000,2015,3,longliner
431802000,2015,4,longliner
431802000,2015,5,longliner
431802000,2015,6,longliner
431802000,2015,7,longliner
431802000,2015,8,longliner
431802000,2015,9,longliner
431802000,2015,10,longliner
431802000,2015,11,longliner
431802000,2015,12,longliner
225019240,2015,3,longliner
225019240,2015,4,longliner
225019240,2015,5,longliner
225019240,2015,6,longliner
225019240,2015,10,longliner
367064000,2015,1,trawler
367064000,2015,2,trawler
367064000,2015,3,trawler
367064000,2015,4,trawler
367064000,2015,5,trawler
367064000,2015,6,trawler
367064000,2015,7,trawler
367064000,2015,8,trawler
367064000,2015,9,trawler
367064000,2015,10,trawler
367064000,2015,11,trawler
367064000,2015,12,trawler
228380000,2015,1,trawler
228380000,2015,2,trawler
228380000,2015,3,trawler
228380000,2015,4,trawler
228380000,2015,5,trawler
228380000,2015,6,trawler
228380000,2015,7,trawler
228380000,2015,8,trawler
228380000,2015,9,trawler
228380000,2015,10,trawler
228380000,2015,11,trawler
228380000,2015,12,trawler
271072496,2015,9,purse_seine
271072496,2015,10,purse_seine
271072496,2015,11,purse_seine
271072496,2015,12,purse_seine
227468000,2015,1,trawler
227468000,2015,2,trawler
227468000,2015,3,trawler
227468000,2015,4,trawler
227468000,2015,5,trawler
227468000,2015,6,trawler
227468000,2015,7,trawler
227468000,2015,8,trawler
227468000,2015,9,trawler
227468000,2015,10,trawler
227468000,2015,11,trawler
227468000,2015,12,trawler
224047430,2015,1,trawler
224047430,2015,2,trawler
224047430,2015,3,trawler
224047430,2015,4,trawler
224047430,2015,5,trawler
224047430,2015,6,trawler
224047430,2015,7,trawler
224047430,2015,8,trawler
224047430,2015,9,trawler
224047430,2015,10,trawler
224047430,2015,11,trawler
224047430,2015,12,trawler
224014850,2015,3,purse_seine
224014850,2015,4,purse_seine
224014850,2015,5,purse_seine
224014850,2015,6,purse_seine
224014850,2015,7,purse_seine
224014850,2015,8,purse_seine
224014850,2015,9,purse_seine
224014850,2015,10,purse_seine
224014850,2015,11,purse_seine
224014850,2015,12,purse_seine
224068340,2015,1,trawler
224068340,2015,2,trawler
224068340,2015,3,trawler
224068340,2015,4,trawler
224068340,2015,5,trawler
224068340,2015,6,trawler
224068340,2015,7,trawler
224068340,2015,8,trawler
224068340,2015,9,trawler
224068340,2015,10,trawler
224068340,2015,12,trawler
224992000,2015,5,longliner
224992000,2015,6,longliner
224992000,2015,7,longliner
224992000,2015,8,longliner
224992000,2015,10,longliner
224992000,2015,11,longliner
224992000,2015,12,longliner
246161000,2015,1,trawler
246161000,2015,2,trawler
246161000,2015,3,trawler
246161000,2015,4,trawler
246161000,2015,5,trawler
246161000,2015,6,trawler
246161000,2015,7,trawler
246161000,2015,8,trawler
246161000,2015,9,trawler
246161000,2015,10,trawler
246161000,2015,11,trawler
246161000,2015,12,trawler
701000880,2015,1,trawler
701000880,2015,2,trawler
701000880,2015,3,trawler
701000880,2015,4,trawler
701000880,2015,5,trawler
701000880,2015,6,trawler
701000880,2015,7,trawler
701000880,2015,8,trawler
701000880,2015,9,trawler
701000880,2015,10,trawler
701000880,2015,11,trawler
701000880,2015,12,trawler
520171000,2015,7,longliner
520171000,2015,8,longliner
520171000,2015,9,longliner
520171000,2015,10,longliner
520171000,2015,11,longliner
520171000,2015,12,longliner
251030110,2015,1,purse_seine
251030110,2015,2,purse_seine
251030110,2015,3,purse_seine
251030110,2015,4,purse_seine
251030110,2015,5,purse_seine
251030110,2015,6,purse_seine
251030110,2015,7,purse_seine
251030110,2015,8,purse_seine
251030110,2015,9,purse_seine
251030110,2015,10,purse_seine
251030110,2015,11,purse_seine
251030110,2015,12,purse_seine
250103560,2015,1,trawler
250103560,2015,2,trawler
250103560,2015,3,trawler
250103560,2015,4,trawler
250103560,2015,5,trawler
250103560,2015,6,trawler
250103560,2015,7,trawler
250103560,2015,8,trawler
250103560,2015,9,trawler
250103560,2015,10,trawler
250103560,2015,11,trawler
250103560,2015,12,trawler
226220000,2015,1,trawler
226220000,2015,2,trawler
226220000,2015,3,trawler
226220000,2015,4,trawler
226220000,2015,5,trawler
226220000,2015,6,trawler
226220000,2015,7,trawler
226220000,2015,8,trawler
226220000,2015,9,trawler
224792000,2015,1,longliner
224792000,2015,2,longliner
224792000,2015,3,longliner
224792000,2015,4,longliner
224792000,2015,5,longliner
224792000,2015,6,longliner
224792000,2015,7,longliner
224792000,2015,8,longliner
224792000,2015,9,longliner
224792000,2015,10,longliner
224792000,2015,11,longliner
224792000,2015,12,longliner
231010000,2015,1,trawler
231010000,2015,2,trawler
231010000,2015,3,trawler
231010000,2015,4,trawler
231010000,2015,5,trawler
231010000,2015,6,trawler
231010000,2015,7,trawler
231010000,2015,8,trawler
231010000,2015,9,trawler
231010000,2015,10,trawler
231010000,2015,11,trawler
231010000,2015,12,trawler
224854000,2015,3,trawler
224854000,2015,4,trawler
224854000,2015,5,trawler
224854000,2015,6,trawler
224854000,2015,7,trawler
224854000,2015,8,trawler
224854000,2015,9,trawler
224854000,2015,10,trawler
224854000,2015,11,trawler
224072870,2015,1,trawler
224072870,2015,5,trawler
224072870,2015,7,trawler
224072870,2015,10,trawler
245369000,2015,1,trawler
245369000,2015,2,trawler
245369000,2015,3,trawler
245369000,2015,4,trawler
245369000,2015,5,trawler
245369000,2015,6,trawler
245369000,2015,7,trawler
245369000,2015,8,trawler
245369000,2015,9,trawler
245369000,2015,10,trawler
245369000,2015,11,trawler
245369000,2015,12,trawler
540002200,2015,1,longliner
540002200,2015,2,longliner
540002200,2015,3,longliner
540002200,2015,4,longliner
540002200,2015,5,longliner
540002200,2015,6,longliner
540002200,2015,7,longliner
540002200,2015,8,longliner
540002200,2015,9,longliner
211315630,2015,1,Trawler
211315630,2015,2,Trawler
211315630,2015,3,Trawler
211315630,2015,4,Trawler
211315630,2015,5,Trawler
211315630,2015,6,Trawler
211315630,2015,7,Trawler
211315630,2015,8,Trawler
211315630,2015,9,Trawler
211315630,2015,10,Trawler
211315630,2015,11,Trawler
211315630,2015,12,Trawler
247073090,2015,5,trawler
247073090,2015,6,trawler
247073090,2015,7,trawler
237149000,2015,1,trawler
237149000,2015,3,trawler
237149000,2015,4,trawler
237149000,2015,5,trawler
237149000,2015,9,trawler
237149000,2015,10,trawler
237149000,2015,11,trawler
237149000,2015,12,trawler
228236000,2015,1,trawler
228236000,2015,2,trawler
228236000,2015,3,trawler
228236000,2015,4,trawler
228236000,2015,5,trawler
228236000,2015,6,trawler
228236000,2015,7,trawler
228236000,2015,8,trawler
228236000,2015,9,trawler
228236000,2015,10,trawler
228236000,2015,11,trawler
228236000,2015,12,trawler
725000261,2015,1,trawler
725000261,2015,2,trawler
725000261,2015,3,trawler
725000261,2015,4,trawler
725000261,2015,5,trawler
725000261,2015,6,trawler
725000261,2015,7,trawler
725000261,2015,8,trawler
725000261,2015,9,trawler
725000261,2015,10,trawler
224104340,2015,1,purse_seine
224104340,2015,2,purse_seine
224104340,2015,3,purse_seine
224104340,2015,4,purse_seine
224104340,2015,5,purse_seine
224104340,2015,6,purse_seine
224104340,2015,7,purse_seine
224104340,2015,8,purse_seine
224104340,2015,9,purse_seine
224104340,2015,10,purse_seine
224104340,2015,11,purse_seine
224526000,2015,2,trawler
224526000,2015,3,trawler
224526000,2015,4,trawler
224526000,2015,5,trawler
224526000,2015,6,trawler
224526000,2015,7,trawler
224526000,2015,8,trawler
224526000,2015,9,trawler
224526000,2015,10,trawler
247081680,2015,1,trawler
247081680,2015,2,trawler
247081680,2015,3,trawler
247081680,2015,4,trawler
247081680,2015,5,trawler
247081680,2015,6,trawler
247081680,2015,7,trawler
247081680,2015,8,trawler
247081680,2015,9,trawler
247081680,2015,10,trawler
247081680,2015,11,trawler
247081680,2015,12,trawler
224154000,2015,1,longliner
224154000,2015,2,longliner
224154000,2015,3,longliner
224154000,2015,4,longliner
224154000,2015,5,longliner
224154000,2015,6,longliner
224154000,2015,7,longliner
224154000,2015,8,longliner
701027000,2015,1,trawler
701027000,2015,2,trawler
701027000,2015,3,trawler
701027000,2015,4,trawler
701027000,2015,5,trawler
701027000,2015,6,trawler
701027000,2015,7,trawler
701027000,2015,8,trawler
701027000,2015,9,trawler
701027000,2015,10,trawler
701027000,2015,11,trawler
701027000,2015,12,trawler
224239970,2015,3,longliner
224239970,2015,6,longliner
224239970,2015,7,longliner
224239970,2015,8,longliner
224239970,2015,9,longliner
224239970,2015,10,longliner
247149410,2015,1,trawler
247149410,2015,2,trawler
247149410,2015,3,trawler
247149410,2015,4,trawler
247149410,2015,5,trawler
247149410,2015,6,trawler
247149410,2015,7,trawler
247149410,2015,8,trawler
247149410,2015,9,trawler
247149410,2015,10,trawler
247149410,2015,11,trawler
247149410,2015,12,trawler
224233000,2015,1,longliner
224233000,2015,2,longliner
224233000,2015,3,longliner
224233000,2015,4,longliner
224233000,2015,5,longliner
224233000,2015,6,longliner
224233000,2015,8,longliner
224233000,2015,9,longliner
224233000,2015,10,longliner
224233000,2015,11,longliner
224233000,2015,12,longliner
