task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__mmsi,taskinfo__month,taskinfo__vesselType,taskinfo__year
0,2016-05-06T14:45:35.566112,6031,"{""mmsi"": ""224082260"", ""month"": ""1"", ""vesselType"": ""Longliner"", ""year"": ""2015""}",3,0.0,23,0,completed,224082260,1,Longliner,2015
0,2016-05-06T14:45:35.697345,6032,"{""mmsi"": ""224082260"", ""month"": ""2"", ""vesselType"": ""Longliner"", ""year"": ""2015""}",3,0.0,23,0,completed,224082260,2,Longliner,2015
0,2016-05-06T14:45:35.826328,6033,"{""mmsi"": ""224082260"", ""month"": ""6"", ""vesselType"": ""Longliner"", ""year"": ""2015""}",3,0.0,23,0,completed,224082260,6,Longliner,2015
0,2016-05-06T14:45:35.962072,6034,"{""mmsi"": ""224082260"", ""month"": ""7"", ""vesselType"": ""Longliner"", ""year"": ""2015""}",3,0.0,23,0,completed,224082260,7,Longliner,2015
0,2016-05-13T04:22:57.242774,6073,"{""mmsi"": ""247155210"", ""month"": ""6"", ""vesselType"": ""purse_seine"", ""year"": ""2015""}",30,0.0,23,0,ongoing,247155210,6,purse_seine,2015
0,2016-05-13T04:22:57.372608,6074,"{""mmsi"": ""247155210"", ""month"": ""7"", ""vesselType"": ""purse_seine"", ""year"": ""2015""}",30,0.0,23,0,ongoing,247155210,7,purse_seine,2015
0,2016-05-13T04:22:57.501530,6075,"{""mmsi"": ""231045000"", ""month"": ""1"", ""vesselType"": ""trawler"", ""year"": ""2015""}",30,0.0,23,0,ongoing,231045000,1,trawler,2015
0,2016-05-13T04:22:57.638995,6076,"{""mmsi"": ""231045000"", ""month"": ""2"", ""vesselType"": ""trawler"", ""year"": ""2015""}",30,0.0,23,0,ongoing,231045000,2,trawler,2015
0,2016-05-13T04:22:57.793662,6077,"{""mmsi"": ""231045000"", ""month"": ""3"", ""vesselType"": ""trawler"", ""year"": ""2015""}",30,0.0,23,0,ongoing,231045000,3,trawler,2015
0,2016-05-13T04:22:57.916120,6078,"{""mmsi"": ""231045000"", ""month"": ""4"", ""vesselType"": ""trawler"", ""year"": ""2015""}",30,0.0,23,0,ongoing,231045000,4,trawler,2015
0,2016-05-13T04:22:58.047337,6079,"{""mmsi"": ""231045000"", ""month"": ""5"", ""vesselType"": ""trawler"", ""year"": ""2015""}",30,0.0,23,0,ongoing,231045000,5,trawler,2015
