mmsi,student_label
224154000,longliner
431802000,longliner
520171000,longliner
540002200,longliner
224233000,longliner
224992000,longliner
224239970,longliner
224792000,longliner
225019240,longliner
224014850,purse_seine
271072496,purse_seine
224104340,purse_seine
251030110,purse_seine
211315630,Trawler
226220000,trawler
237149000,trawler
246161000,trawler
247073090,trawler
247081680,trawler
250103560,trawler
367064000,trawler
224526000,trawler
227468000,trawler
228236000,trawler
228380000,trawler
231010000,trawler
227579000,trawler
245369000,trawler
701027000,trawler
725000261,trawler
224068340,trawler
224072870,trawler
224047430,trawler
247149410,trawler
224854000,trawler
701000880,trawler
