mmsi,label,label_score,type,type_score
247119520,Longliner,0.9828612804412842,36,1.0
576190000,Longliner,0.9856100678443909,90,1.0
338139723,Longliner,0.8746503591537476,36,1.0
440105520,Longliner,0.9507907629013062,20,1.0
231006000,Longliner,0.8054894804954529,51,1.0
224006770,Longliner,0.9439278841018677,99,0.9947460595446584
574013003,Longliner,0.8096778392791748,70,0.9995933306222041
235095543,Longliner,0.8278856873512268,36,1.0
538002948,Longliner,0.9990745782852173,52,0.9997109826589595
431900227,Longliner,0.9471135139465332,37,1.0
224724000,Longliner,0.9841344952583313,36,0.8000999500249875
432568000,Longliner,0.9995721161365512,37,1.0
503652100,Longliner,0.8731438517570496,36,1.0
533065200,Longliner,0.9092400670051575,52,1.0
367588860,Longliner,0.8904732465744019,36,1.0
576690000,Longliner,0.9999992847442627,70,1.0
235000632,Longliner,0.8874447345733643,36,1.0
503013020,Longliner,0.8364171385765076,36,1.0
416028700,Longliner,0.9927392601966858,40,0.981245311327832
235090871,Longliner,0.8228236436843872,37,1.0
212121212,Longliner,0.8405885845422746,15,0.9520089285714286
710472000,Longliner,0.8857110142707825,35,1.0
416731000,Longliner,0.998630940914154,70,1.0
367161340,Longliner,0.9736187368631363,37,1.0
441735000,Longliner,0.8539071679115295,36,1.0
251199000,Longliner,0.8303417563438416,39,1.0
601032600,Longliner,0.9847074151039124,36,1.0
416046700,Longliner,0.9877163767814636,2,0.8289036544850499
419000244,Longliner,0.8232070803642273,35,1.0
503586100,Longliner,0.9984183311462402,37,1.0
235096548,Longliner,0.887535572052002,36,1.0
273847710,Longliner,0.8970499038696289,70,1.0
311227000,Longliner,0.8521656394004822,89,0.999841822208162
316017683,Longliner,0.8337531685829163,36,1.0
211465950,Longliner,0.9723913073539734,99,1.0
525022136,Longliner,0.9921314120292664,70,1.0
211154980,Longliner,0.983069896697998,36,1.0
354055000,Longliner,0.9434341788291931,52,1.0
265722600,Longliner,0.9889886975288391,36,1.0
566174000,Longliner,0.884368360042572,90,1.0
533130177,Longliner,0.8962766528129578,113,0.9832402234636871
525023216,Longliner,0.8772128820419312,70,1.0
366920680,Longliner,0.9376574754714966,36,1.0
657429000,Longliner,0.9133497476577759,20,0.9980952380952381
367571490,Longliner,0.8591664880514146,39,1.0
431601350,Longliner,0.8758857846260071,37,1.0
416004242,Longliner,0.9999278783798218,37,1.0
265638130,Longliner,0.8525525331497192,37,1.0
431501545,Longliner,0.9999794960021973,37,1.0
367599150,Longliner,0.9906491637229919,37,1.0
333300758,Trawler,0.8214384317398071,70,1.0
264160092,Trawler,0.9961146116256714,80,0.9902186421173763
245999000,Trawler,0.9991379976272583,90,1.0
412570440,Trawler,0.9046431183815002,70,1.0
412702190,Trawler,0.9020867943763733,70,1.0
412426090,Trawler,0.8423076868057251,70,1.0
376761000,Trawler,0.8376753330230713,52,1.0
524801490,Trawler,0.8529478311538696,70,1.0
440127950,Trawler,0.8430337905883789,32,1.0
419072800,Trawler,0.9751601815223694,70,1.0
413963176,Trawler,0.8563498854637146,70,0.9991603694374476
413814162,Trawler,0.8771573305130005,70,1.0
413787715,Trawler,0.8445204496383667,70,1.0
413977702,Trawler,0.8915706276893616,70,1.0
413976502,Trawler,0.9652962684631348,70,1.0
