mmsi,shipname,imo,callsign,shiptype,shiptype_fishing,clav_TUVI,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,clav_DateUpdated,rfmo_name,match_start,match_end,match_score
416702000,SHENG HONG,,BZLL,Fish carriers,0,24161,1,1,2,1,1,1,,32:16.0,WCPFC,33:51.0,10:28.0,337792.8
271072475,FATO��LU KARDE��LER-1,,TC3718,Pole and Line vessels,1,6935,0,1,0,1,0,1,1,21:54.0,ICCAT,21:24.0,30:52.0,2482
577077000,TAIHO MARU,9459591,YJRZ2,,1,26785,1,1,2,1,1,1,,37:00.0,CCSBT,17:54.0,22:54.0,363459.6
416171700,HSIEN HUA NO.107,9225768,BI2552,Fish carriers,0,463,0,1,1,1,1,1,,50:33.0,WCPFC,53:29.0,22:06.0,7698.4
224224000,AGURTZA BERRIA,8733445,EBSJ,Support Vessels,0,7915,1,1,1,1,1,0,,05:25.0,ICCAT,06:33.0,55:30.0,273.025
441032000,SEA MANSION,8808161,DSOP5,Fish carriers,0,24160,1,1,0,1,1,1,,57:44.0,ICCAT,44:34.0,30:44.0,194744
577105000,RYOMA,9133305,YJTA9,Fish carriers,0,26898,1,1,1,1,1,1,,00:21.0,ICCAT,43:51.0,13:08.0,317552.8
370599000,Ibuki,,3ELC8,Fish carriers,0,24163,2,1,0,1,1,1,,00:00.0,IATTC,07:32.0,18:27.0,59264
229705000,SIERRA LAUREL,9163403,D5JZ8,Fish carriers,0,28476,1,0,1,0,1,0,,05:40.0,WCPFC,04:22.0,59:25.0,4584.525
432106000,SHIN OITA MARU,9231444,JNWI,Fishery research vessels,0,15696,1,1,1,1,1,1,1,20:00.0,WCPFC,49:36.0,58:27.0,244851.6
271072208,��ENG��L KARDE��LER,,TC5364,Non-fishing vessels nei,0,7000,0,1,0,1,0,1,1,51:11.0,ICCAT,05:07.0,47:04.0,6656
227370000,JEAN LOUIS RAPHAEL 2,,FGTX,Tuna purse seiners,1,1739,0,1,0,1,0,1,0.076829672,05:01.0,IOTC,50:13.0,33:06.0,2290.25
577132000,Chikuma,9666493,D5JI4,Fish carriers,0,24164,1,0,0,0,0,0,,00:00.0,IATTC,29:42.0,24:31.0,4761.75
636092595,BONAIRE TRADER,9340922,D5GP9,Unknown,1,37647,3,1,2,1,1,1,,09:10.0,IOTC,13:56.0,48:49.0,54884.8
416308000,CHEN YU 7,7930175,BZLY,Longliners,1,24155,1,1,0,1,1,1,,34:35.0,CCSBT,02:02.0,54:25.0,315560
577077000,TAIHO MARU,9459591,YJRZ2,Fish carriers,0,26785,1,1,2,1,1,1,,53:21.0,ICCAT,17:54.0,22:54.0,363459.6
577132000,CHIKUMA,9666493,D5JI4,Multipurpose vessels,1,24164,1,0,1,0,1,0,,06:12.0,CCSBT,29:42.0,24:31.0,5237.9
576277000,SHIN IZU,9186936,YJQA5,Longliners,1,23981,1,1,1,1,1,1,,00:00.0,CCSBT,32:18.0,57:09.0,187869.2
370599000,IBUKI,,3ELC8,Fish carriers,0,24163,2,1,3,1,1,1,,12:44.0,IOTC,07:32.0,18:27.0,62226.8
224303000,ZAHARA TRES,,ECHG,Unknown,1,8216,1,1,1,1,1,1,0.57123381,59:38.0,IOTC,02:14.0,13:38.0,36968.4
356567000,SHANGHAI REEFER,9010785,HPXZ,Fish carriers,0,31501,1,1,1,0,1,1,,24:58.0,WCPFC,20:58.0,41:30.0,44795.1
227146300,CISBERLANDE 5,,FPRE,Tuna purse seiners,1,1626,1,1,0,1,0,0,1,00:00.0,IOTC,46:06.0,58:49.0,26254
529578000,SATSUMA,,9V8759,Multipurpose vessels,1,26933,1,0,0,0,0,1,,00:00.0,CCSBT,49:17.0,28:17.0,12981
416001900,YUAN TAI NO.806,,BZIR,Fish carriers,0,23960,1,1,1,1,1,1,0.143679254,56:09.0,WCPFC,52:39.0,14:05.0,186000.8
416001900,YUAN TAI 806,7900663,BZIR,Longliners,1,23960,1,1,0,1,1,1,0.143679254,34:35.0,CCSBT,52:39.0,14:05.0,177144
227458000,PROVENCE-COTE D'AZUR,,FUWA,Tuna purse seiners,1,30838,0,1,0,1,0,0,,58:56.0,IOTC,53:18.0,37:07.0,637.25
577077000,Taiho Maru,9459591,YJRZ2,Fish carriers,0,26785,1,1,0,1,1,1,,00:00.0,IATTC,17:54.0,22:54.0,346152
627093246,RYUTA MARU,9140102,3FSG7,Longliners,1,26899,1,0,0,0,0,0,,34:35.0,CCSBT,44:01.0,10:54.0,6110.75
357788000,MIYABI,,3FTI9,Fish carriers,0,24156,1,1,1,0,0,1,,18:09.0,IOTC,11:32.0,24:39.0,51821
432861000,OYAMA MARU,,JJWR,Fishery research vessels,0,15645,0,1,1,1,1,1,0.421450959,00:16.0,WCPFC,09:58.0,57:05.0,57556.4
431731000,UNRYU MARU,,JIVJ,Fishery research vessels,0,15653,0,1,1,1,1,1,1,03:38.0,WCPFC,05:06.0,24:06.0,73308.4
431301346,SHINKAI MARU,,7LOV,Fishery research vessels,0,15661,0,0,1,1,0,1,,00:16.0,WCPFC,25:40.0,14:17.0,16635.2
357788000,VICTORIA NO. 168,8808252,3FTI9,Fish carriers,0,24156,1,1,1,0,1,1,,41:21.0,WCPFC,11:32.0,24:39.0,51490.8
