mmsi,label
371603000,Tanker
431000792,Tanker
413829796,Tanker
431003767,Tanker
376173000,Tanker
247227900,Tanker
357162000,Tanker
538006025,Tanker
229483000,Tanker
413450770,Tanker
636016724,Tanker
413900854,Tanker
311028200,Tanker
567004440,Tanker
273377120,Tanker
422143000,Tanker
211512750,Tanker
636016183,Tanker
441701000,Tanker
636016291,Tanker
636011630,Tanker
267130501,Tanker
431401961,Tanker
239278000,Tanker
244285000,Tanker
412553970,Tanker
210745000,Tanker
525004105,Tanker
671597000,Tanker
235764000,Tanker
244660420,Tanker
413451450,Tanker
432807000,Tanker
311036700,Tanker
374878000,Tanker
538003864,Tanker
241275000,Tanker
258310000,Tanker
319963000,Tanker
241050000,Tanker
538005374,Tanker
413360770,Tanker
419018000,Tanker
440115330,Tanker
413472260,Tanker
355973000,Tanker
259781000,Tanker
431400367,Tanker
477257200,Tanker
273332710,Tanker
354843000,Tanker
564520000,Tanker
413960467,Tanker
431000175,Tanker
735057772,Tanker
558588000,Tanker
538002667,Tanker
725019210,Tanker
525007037,Tanker
351458000,Tanker
240920000,Tanker
414731000,Tanker
413771367,Tanker
572488210,Tanker
240547000,Tanker
431004325,Tanker
374136000,Tanker
228320900,Tanker
311026700,Tanker
412380360,Tanker
354453000,Tanker
372903000,Tanker
533130000,Tanker
310542000,Tanker
431200655,Tanker
636014739,Tanker
256231000,Tanker
316222000,Tanker
273378220,Tanker
370467000,Tanker
413202240,Tanker
525005085,Tanker
311000438,Tanker
564365000,Tanker
431004247,Tanker
413557000,Tanker
431402034,Tanker
256377000,Tanker
373129000,Tanker
431100146,Tanker
373608000,Tanker
563936000,Tanker
241394000,Tanker
477653800,Tanker
413378940,Tanker
538003856,Tanker
503482000,Tanker
566904000,Tanker
372457000,Tanker
636013117,Tanker
538003031,Tanker
122111121,Tanker
548313000,Tanker
412434630,Tanker
215392000,Tanker
215155000,Tanker
431400102,Tanker
356773000,Tanker
477851400,Tanker
441687000,Tanker
413554120,Tanker
565526000,Tanker
441365000,Tanker
309671000,Tanker
367501540,Tanker
431100878,Tanker
241007000,Tanker
412375320,Tanker
431000162,Tanker
354671000,Tanker
565814000,Tanker
235079501,Tanker
246295000,Tanker
548060200,Tanker
440106200,Tanker
351932000,Tanker
316214000,Tanker
636014527,Tanker
374109000,Tanker
310478000,Tanker
636092135,Tanker
240973000,Tanker
240510000,Tanker
413765879,Tanker
244750137,Tanker
563716000,Tanker
273444330,Tanker
319205000,Tanker
310539000,Tanker
636014203,Tanker
431101028,Tanker
413474710,Tanker
273166100,Tanker
636015705,Tanker
269057510,Tanker
440232000,Tanker
431002799,Tanker
239274000,Tanker
352755000,Tanker
150203145,Tanker
413375720,Tanker
636091632,Tanker
353229000,Tanker
261000560,Tanker
538006045,Tanker
431300215,Tanker
567001730,Tanker
226028000,Tanker
240644000,Tanker
273373240,Tanker
357751000,Tanker
503795000,Tanker
440367000,Tanker
413378810,Tanker
241112000,Tanker
413470440,Tanker
273354340,Tanker
240147000,Tanker
244670267,Tanker
273345530,Tanker
477144300,Tanker
355212000,Tanker
636013273,Tanker
257772000,Tanker
431401882,Tanker
636012909,Tanker
220518000,Tanker
431401849,Tanker
441878000,Tanker
413375470,Tanker
431005055,Tanker
357598000,Tanker
538001711,Tanker
566980000,Tanker
538090474,Tanker
229845000,Tanker
538002500,Tanker
525019372,Tanker
413378230,Tanker
372796000,Tanker
212118000,Tanker
413377780,Tanker
413814905,Tanker
355057000,Tanker
533194000,Tanker
244700196,Tanker
563482000,Tanker
354073000,Tanker
230956000,Tanker
273350240,Tanker
