mmsi,months_2015
100881821,"5,6,7,8,9"
104938,"1,2,6,7,8,9,10,11,12"
111219901,"1,2,5,8,9,10,11,12"
130700536,"9,10,11"
13,"1,2,5,6,7,8,9,10,11,12"
19061400,"1,2,3,5"
200000238,"5,6,7,8"
200001773,"8,9,11"
200001903,"1,2,3"
200006472,"2,3,7,8,9"
200010429,"1,2,9,10,11,12"
200013314,"3,4,5,6,7,11,12"
205258090,"1,2,4,5,6,7,8,9,10,11,12"
205937110,"6,7,8,9,10,11,12"
211113370,"3,6,7,8"
211117840,"5,6,7,9,10"
211161590,"3,5,9"
211223250,"3,4,5,6,7,8,9,10,11,12"
211225100,"4,11,12"
211365960,"3,4,5,6,7,8,9,10,11,12"
211401930,"3,4,5,6,7,8,9,10,11"
211442190,"1,2,3,4,5,6,7,8,9,10,11,12"
211493750,"1,2,3,4,5,6,7,8,9,10,11,12"
211495780,"3,4,6,7,8,9,10"
211496840,"5,6,7,8,9,10"
211500210,"5,6,7,8,9"
211510820,"1,2,3,4,5,6,7"
211515610,"4,5,6,7,8,9"
211519610,"1,3,4,5,6,7,8,9,10,11,12"
211522430,"8,9,10,11"
211644790,"4,5,6,7,8,9,10"
211686430,"10,11,12"
219000368,"1,2,3,4,5,6,7,8,9,10,11,12"
219012504,"6,8,9,10"
219014433,"6,7,8"
219020209,"5,6,9,10"
219868000,"1,2,3,4,6,7,8,10,11,12"
220000054,"3,4,5,6,7,8,9,10,11,12"
224001900,"1,2,3,4,5"
224050280,"1,2,3,4,5,6,7,8,9,10,11,12"
224090120,"1,2,3,4,5,6,7,8,9,10,11,12"
224092860,"4,5,6,7,8,9,10"
224374270,"1,7,8,9"
224579740,"1,5,7,8,9,10,11,12"
226000420,"1,2,3,4,5,6,8,9,11"
226002720,"1,2,3,4,5,7,8,9,10,11,12"
226005540,"1,2,3,4,5,6,7,8,9,10,11,12"
226008730,"3,4,5,6,7,8,9,10,11"
227010940,"1,2,3,4,5,6,7,8,9,10,11,12"
227099020,"1,2,3,4,5,9,11,12"
227258760,"1,2,3,4,6,7,8,9,10,12"
227276790,"4,5,6,7,8,9,10,11,12"
227320290,"1,2,3,4,5"
227338920,"3,5,6,7,8,9,10"
227602490,"1,3,4,6,7,8,9,10,11,12"
