url,mmsi,Bjorn Bergman,Vaida Lilionyte,Alisun Meske
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6558,10000000,bad_data,bad_data,bad_data
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6559,111666888,bad_data,bad_data,multiple_vessels
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6560,205203890,Cargo_Tanker,Cargo_Tanker,Cargo_Tanker
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6561,205224490,Tug_Pilot_Supply,tug,Tug_Pilot_Supply
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6562,205278690,Cargo_Tanker,Cargo_Tanker,Cargo_Tanker
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6563,205432790,Cargo_Tanker,Cargo_Tanker,Cargo_Tanker
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6564,205484990,Cargo_Tanker,Cargo_Tanker,Cargo_Tanker
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6565,207829830,Trawler,bad_data,Trawler
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6566,209250000,Cargo_Tanker,Cargo_Tanker,Cargo_Tanker
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6567,209272000,Tug_Pilot_Supply,Tug_Pilot_Supply,Tug_Pilot_Supply
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6568,210493000,Cargo_Tanker,Cargo_Tanker,Cargo_Tanker
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6569,211123610,sailboat,pleasure ,Pleasure Craft
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6570,211191060,Cargo_Tanker,Cargo_Tanker,Cargo_Tanker
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6571,211210910,,military,not_known
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6572,211219330,,Passenger,Passenger
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6573,211223790,,claims to be passenger but similar to fishing,Passenger
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6574,211538610,,pleasure ,Pleasure Craft
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6575,211626470,,pleasure,Pleasure Craft
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6576,211669240,,dredgers,Tug_Pilot_Supply
http://crowd.globalfishingwatch.org/project/id_random_vessels/task/6577,215450000,,Cargo_Tanker,Cargo_Tanker
