mmsi,months_2015
209108000,"1,2,3,4,5,6,7,8,9,10,11,12"
209128000,"1,2,3,4,5,6,7,8,9,10,11,12"
210582000,"1,2,3,4,5,6,7,8,9,11,12"
210624000,"1,2,3,4,5,6,7,8,9,10,11,12"
212168000,"1,2,3,4,5"
212434000,"1,2,3,4,5,6"
212593000,"2,7,8,9,10"
212835000,"1,2,3,12"
212966000,"1,2,3,4,5,6,7,8,9,10,11,12"
219020398,"4,5,6,7,8,9,10,11,12"
224307000,"2,3,6,7,9,10,11,12"
224331000,"1,2,3,7"
226022000,"1,5,6,7,8,9,10,11,12"
227317970,"1,2,3,4,5,6,7,8,9,10,11,12"
228030800,"1,2,3,4,5,6,7,8,9,10,11,12"
228045800,"1,2,3,4,5,6,7,8,9,10,11,12"
228050600,"1,2,3,4,5,6,7,8,9,10,11,12"
228798000,"1,2,3,4"
232555000,"1,2,3,4,6,7,8,9"
233659000,"1,2,3,4,5,6,7,8,9,10,11"
233694000,"1,2,3,4,5,6,7,8,9,10,11,12"
236111851,"1,2,3,4,5,6,7,8,9,10,11,12"
236111902,"1,2,3,4,7,8,9,10,11,12"
236384000,"1,2,3,4,5,6,7,8,9,10,11"
236403000,"1,2,3,4,5,6,7,8,9,10,11,12"
236538000,"3,7,11,12"
236585000,"1,2,3,4,5,6,7,8,9,10,11,12"
239492000,"1,2,3,4,5,6,7,8,9,10,11,12"
247103060,"6,7,8,9,10"
248219000,"1,2,3,4,5,6,7,8,9,11,12"
251063000,"1,2,3,4,5,6,7,8"
257022000,"1,4,5,6,7,8,9,10,11,12"
257557000,"1,2,3,4,5,6,7,8,9,10,11,12"
257908000,"4,5,6,7,8,9,10,11,12"
258739000,"1,2,3,4,5,6,7,8,9,10,11,12"
258992000,"1,2,3,4,5,6,7,8,9,10"
259645000,"1,2,3,4,5,6,7,8,9,10,11,12"
259671000,"1,2,3,4,5,6,7,8,9,10,11,12"
259798000,"1,2,3,4,5,6,7,8,9,10,11"
271043480,"1,2,3,4,5,6,7,8,9,10,11,12"
273132000,"5,6,7,8,9,10,11,12"
273212110,"1,2,3,4,5,6,7,8,9,10,11,12"
273240700,"1,2,3,4,5,6,7,8,9,10,11,12"
273249600,"1,2,3,4,5,6,7,8,9"
273258100,"1,2,3,4,5,6,7,8,9,10,11,12"
273350140,"1,2,3,4,5,6,7,8,9,10,11,12"
273366690,"1,2,3,4,5,7,8,10,11,12"
273454600,"1,2,3,4,5,6,7,8,9,10,11,12"
273454700,"1,2,3,4,5,6,7,8,9,10,11,12"
273457600,"1,2,3,4,5,6,7,8,9,10"
273458600,"1,2,3,5,6,7,8,9,10,11,12"
273522400,"3,5,6,7,8,9,11,12"
273523300,"3,4,5,6,7,8,9,11,12"
273526300,"1,2,3,4,5,6,7,8,9,10,11"
273840020,"4,8,9,10,12"
273840710,"1,4,5,6,8,11,12"
273843020,"1,3,4,5,6,7,12"
273848710,"4,11,12"
273848910,"1,4,5,6,7,8,11,12"
303628000,"1,2,4,7,8,9,10,11,12"
308246000,"1,2,3,4,5,6"
309593000,"1,2,3,4,5,6,7,8,9,10,11,12"
311000084,"1,2,3,4,5,6,7,8,9,10,11"
311000276,"6,7,8,9,10,11,12"
311012200,"1,2,3,4"
311012300,"1,2,3,4,5,6,7,8,9,10,11,12"
311012400,"1,2,3,4,5,6,7,8,9,10,11,12"
311012500,"1,2,3,4,5,6,7,8,9,10,12"
311027800,"1,2,3,4,5,6,7,8,9,10,11,12"
311029900,"1,2,3,4,5,6,7,8,9,10,11,12"
311030800,"1,2,3,4,5,6,7,8,9,10,11,12"
311052900,"3,4,5,6,7,8,9,10,11,12"
