mmsi,year,month
412002777,2015,1
412002777,2014,8
316008961,2014,1
316008961,2014,12
412423199,2015,7
412423199,2014,12
412328565,2015,4
412328565,2015,5
440000690,2014,11
440000690,2014,3
412418996,2014,8
412418996,2014,1
412430414,2015,5
412430414,2014,5
251194540,2015,7
251194540,2014,8
200000055,2015,3
200000055,2015,2
227101600,2015,3
227101600,2014,12
412479576,2014,1
412479576,2015,1
412061922,2014,4
412061922,2014,2
412332837,2015,3
412332837,2014,9
110701275,2014,11
110701275,2014,9
412432048,2015,3
412432048,2014,11
247155210,2015,7
247155210,2015,6
412437435,2014,11
412437435,2014,3
257488620,2015,2
257488620,2015,3
412448749,2014,12
412448749,2015,4
416004801,2015,6
416004801,2015,1
412444188,2014,12
412444188,2014,8
224055250,2014,9
224055250,2014,6
412447295,2015,1
412447295,2014,12
412464376,2015,2
412464376,2015,3
412462593,2015,1
412462593,2014,10
800017081,2015,7
800017081,2015,3
412444796,2014,11
412444796,2014,10
412470461,2014,9
412470461,2014,8
412286699,2014,8
412286699,2014,11
413011032,2015,4
413011032,2015,5
432845000,2015,7
432845000,2014,12
251415440,2014,5
251415440,2015,5
412412715,2014,4
412412715,2015,3
412443614,2014,2
412443614,2014,6
219019804,2015,4
219019804,2014,12
412425899,2014,8
412425899,2014,11
412421803,2014,7
412421803,2015,7
412449545,2014,11
412449545,2015,2
412416335,2014,3
412416335,2014,5
231184000,2014,3
231184000,2014,1
701000662,2014,7
701000662,2015,4
725009500,2015,7
725009500,2014,12
412360539,2015,5
412360539,2015,4
900658520,2014,3
900658520,2015,4
412441214,2014,4
412441214,2014,3
998508330,2015,4
998508330,2015,6
257705500,2015,3
257705500,2014,8
900405802,2014,9
900405802,2014,8
247051730,2015,6
247051730,2014,2
900000328,2015,7
900000328,2015,1
257001210,2015,4
257001210,2015,5
412596013,2014,8
412596013,2014,10
412450746,2014,9
412450746,2014,4
412123411,2014,3
412123411,2014,1
265502370,2015,7
265502370,2015,5
251415640,2014,5
251415640,2015,5
800028837,2015,5
800028837,2014,11
412428092,2015,4
412428092,2015,6
900303106,2014,4
900303106,2014,1
412411689,2014,2
412411689,2014,8
263583000,2014,8
263583000,2014,6
90143213,2014,8
90143213,2015,3
413441090,2015,3
413441090,2015,4
261008070,2015,1
261008070,2015,2
235071779,2015,1
235071779,2014,1
412433799,2015,5
412433799,2014,8
224094160,2015,7
224094160,2014,9
271072382,2014,11
271072382,2014,12
412457011,2014,11
412457011,2014,5
247121880,2015,7
247121880,2015,6
412433643,2014,10
412433643,2014,9
228282000,2015,2
228282000,2014,5
265616100,2015,7
265616100,2014,10
247121820,2015,5
247121820,2015,3
412464495,2015,7
412464495,2015,6
338145405,2014,9
338145405,2014,7
412515898,2014,3
412515898,2014,4
412419197,2014,11
412419197,2014,10
235087027,2015,5
235087027,2015,4
412464331,2014,3
412464331,2014,10
410025515,2014,7
410025515,2014,5
412489777,2014,7
412489777,2015,3
412441905,2015,4
412441905,2015,5
412445383,2014,9
412445383,2014,11
412449247,2014,12
412449247,2015,3
412323921,2014,9
412323921,2014,11
412417063,2014,3
412417063,2014,5
412478686,2015,3
412478686,2014,9
412450085,2014,11
412450085,2014,1
304145000,2014,2
304145000,2015,4
247143580,2014,7
247143580,2014,6
900402635,2015,4
900402635,2014,10
270007565,2014,5
270007565,2014,4
412435094,2014,7
412435094,2014,9
265668860,2014,10
265668860,2015,3
130400923,2014,8
130400923,2014,9
412329271,2014,10
412329271,2014,9
272740000,2015,1
272740000,2015,2
412462038,2015,5
412462038,2014,4
231045000,2015,5
231045000,2014,10
412064497,2014,10
412064497,2014,9
412431119,2014,8
412431119,2014,3
412213461,2014,4
412213461,2014,5
412417065,2014,10
412417065,2014,9
412416059,2015,3
412416059,2014,10
412201603,2014,11
412201603,2014,3
412413956,2014,12
412413956,2014,8
412286805,2015,1
412286805,2014,7
251576540,2014,6
251576540,2014,5
900019534,2014,11
900019534,2014,4
412421998,2014,10
412421998,2015,4
412430411,2014,9
412430411,2015,5
412418804,2015,4
412418804,2014,11
412510026,2014,7
412510026,2014,5
800036107,2014,3
800036107,2015,1
224020790,2014,11
224020790,2014,10
412437981,2015,5
412437981,2015,4
412422289,2014,3
412422289,2014,11
412698540,2014,5
412698540,2014,4
412300862,2014,10
412300862,2014,12
259595000,2014,10
259595000,2015,4
413214763,2015,7
413214763,2014,9
900412851,2015,5
900412851,2015,4
412469752,2014,8
412469752,2014,4
412460866,2015,2
412460866,2014,9
800003792,2014,9
800003792,2014,5
412427022,2014,9
412427022,2014,10
431702990,2014,1
431702990,2015,1
412330746,2015,5
412330746,2014,10
412418459,2015,5
412418459,2014,3
412206498,2014,10
412206498,2014,9
235090864,2014,4
235090864,2014,11
412479526,2014,8
412479526,2014,9
900264110,2014,3
900264110,2014,2
412418411,2015,4
412418411,2014,8
228258000,2014,8
228258000,2014,5
412412192,2014,2
412412192,2014,5
271062117,2014,12
271062117,2015,1
412202537,2014,11
412202537,2014,10
345904243,2014,9
345904243,2014,10
412568997,2014,9
412568997,2014,12
800036705,2015,6
800036705,2014,10
367416270,2014,5
367416270,2015,3
412413602,2015,5
412413602,2014,10
412418986,2014,12
412418986,2014,1
412423422,2015,1
412423422,2015,5
247063630,2014,12
247063630,2014,5
412200527,2015,5
412200527,2014,9
412213273,2014,9
412213273,2015,4
699889966,2014,4
699889966,2014,2
413022596,2014,5
413022596,2014,4
251080110,2014,9
251080110,2015,6
210000009,2015,4
210000009,2014,7
205155000,2014,4
205155000,2014,6
412328001,2014,5
412328001,2014,2
412326262,2014,4
412326262,2014,3
