mmsi,label
366993640,Towing
367615190,Towing
366930000,Towing
367113890,Towing
273348270,Towing
440111760,Towing
366926990,Towing
367008760,Towing
367601060,Towing
367590750,Towing
367481670,Towing
366994190,Towing
367473510,Towing
413762572,Towing
367384530,Towing
271010551,Towing
367558180,Towing
367309440,Towing
366760270,Towing
367143380,Towing
367003470,Towing
250106440,Towing
413040160,Towing
367079330,Towing
367371830,Towing
440133360,Towing
367638110,Towing
367479280,Towing
341989000,Towing
367340460,Towing
316001876,Towing
367144820,Towing
367047190,Towing
367535110,Towing
367498820,Towing
413977209,Towing
366962970,Towing
369970628,Towing
367440160,Towing
368148000,Towing
375382000,Towing
440223000,Towing
368515000,Towing
366963350,Towing
367522210,Towing
367332950,Towing
431005531,Towing
755036000,Towing
367057750,Towing
366967490,Towing
366798220,Towing
654099000,Towing
367654290,Towing
366996380,Towing
366961450,Towing
366972280,Towing
367475340,Towing
367014280,Towing
366988710,Towing
367314520,Towing
367505660,Towing
366996240,Towing
367090420,Towing
367353360,Towing
525002009,Towing
367610590,Towing
413980147,Towing
367141000,Towing
367593770,Towing
413971767,Towing
367402990,Towing
367583840,Towing
367535610,Towing
367371620,Towing
367047240,Towing
244650886,Towing
367139970,Towing
533000549,Towing
366950760,Towing
271002332,Towing
367396120,Towing
367533020,Towing
367497580,Towing
367515280,Towing
367010030,Towing
367353380,Towing
271010368,Towing
366936460,Towing
367169320,Towing
440104360,Towing
367410780,Towing
367171380,Towing
271040788,Towing
367142690,Towing
367157110,Towing
338102861,Towing
355532000,Towing
367003890,Towing
271017000,Towing
